date,bnd_bnd
2025-10-27,74.8144302368164
2025-10-28,74.85430145263672
2025-10-29,74.48551177978516
2025-10-30,74.3559341430664
2025-10-31,74.33600616455078
2025-11-03,74.25
2025-11-04,74.29000091552734
2025-11-05,74.08000183105469
2025-11-06,74.37000274658203
2025-11-07,74.33000183105469
2025-11-10,74.30999755859375
2025-11-11,74.5199966430664
2025-11-12,74.48999786376953
2025-11-13,74.2699966430664
2025-11-14,74.16000366210938
2025-11-17,74.19999694824219
2025-11-18,74.26000213623047
2025-11-19,74.2300033569336
2025-11-20,74.33999633789062
2025-11-21,74.5199966430664
2025-11-24,74.6500015258789
2025-11-25,74.81999969482422
2025-11-26,74.9000015258789
