date,ief_ief
2025-10-27,97.1839828491211
2025-10-28,97.2737045288086
2025-10-29,96.64568328857422
2025-10-30,96.50611877441406
2025-10-31,96.5459976196289
2025-11-03,96.5
2025-11-04,96.62000274658203
2025-11-05,96.16000366210938
2025-11-06,96.6500015258789
2025-11-07,96.69000244140625
2025-11-10,96.55999755859375
2025-11-11,96.86000061035156
2025-11-12,96.87999725341797
2025-11-13,96.5999984741211
2025-11-14,96.44000244140625
2025-11-17,96.55000305175781
2025-11-18,96.70999908447266
2025-11-19,96.63999938964844
2025-11-20,96.87000274658203
2025-11-21,97.19000244140625
2025-11-24,97.33999633789062
2025-11-25,97.58999633789062
2025-11-26,97.66999816894531
