date,shy_shy
2025-10-27,82.82665252685547
2025-10-28,82.83661651611328
2025-10-29,82.67713165283203
2025-10-30,82.68709564208984
2025-10-31,82.71700286865234
2025-11-03,82.72000122070312
2025-11-04,82.75
2025-11-05,82.69000244140625
2025-11-06,82.79000091552734
2025-11-07,82.83000183105469
2025-11-10,82.80999755859375
2025-11-11,82.87999725341797
2025-11-12,82.8499984741211
2025-11-13,82.80000305175781
2025-11-14,82.83000183105469
2025-11-17,82.81999969482422
2025-11-18,82.87000274658203
2025-11-19,82.86000061035156
2025-11-20,82.93000030517578
2025-11-21,83.02999877929688
2025-11-24,83.04000091552734
2025-11-25,83.08999633789062
2025-11-26,83.08000183105469
