date,slv_slv
2025-10-27,42.400001525878906
2025-10-28,42.70000076293945
2025-10-29,43.22999954223633
2025-10-30,44.34000015258789
2025-10-31,44.0099983215332
2025-11-03,43.7599983215332
2025-11-04,42.7400016784668
2025-11-05,43.650001525878906
2025-11-06,43.54999923706055
2025-11-07,43.91999816894531
2025-11-10,45.790000915527344
2025-11-11,46.45000076293945
2025-11-12,48.31999969482422
2025-11-13,47.41999816894531
2025-11-14,45.959999084472656
2025-11-17,45.470001220703125
2025-11-18,46.099998474121094
2025-11-19,46.45000076293945
2025-11-20,45.779998779296875
2025-11-21,45.29999923706055
2025-11-24,46.630001068115234
2025-11-25,46.66999816894531
2025-11-26,48.400001525878906
